year,month,capital,country_code,gas_ppi,elect_ppi,country_clean
2010,Feb,Rome,(IT),6.2187470816815935,16.035726520824156,Italy
2010,Feb,Riga,(LV),NA,NA,Latvia
2010,Feb,Vilnius,(LT),NA,NA,Lithuania
2010,Feb,Luxembourg,City,4.65557506335944,14.837227554407363,Luxembourg
2010,Feb,Amsterdam,(NL),5.167374516423439,15.350399177720478,Netherlands
2010,Feb,Warsaw,(PL),NA,NA,Poland
2010,Feb,Lisbon,(PT),6.514286130667059,20.808432138602246,Portugal
2010,Feb,Bucharest,(RO),NA,NA,Romania
2010,Feb,Belgrade,(RS),NA,NA,Serbia
2010,Feb,Bratislava,(SK),NA,NA,Slovakia
2010,Feb,Ljubljana,(SI),NA,NA,Slovenia
2010,Feb,Madrid,(ES),5.634575708679041,18.186218886309454,Spain
2010,Feb,Stockholm,(SE),14.632462892888686,13.887719592469917,Sweden
2010,Feb,Bern,(CH),NA,8.92470010117069,Switzerland
2010,Feb,Kyiv,(UA),NA,NA,Ukraine
2010,Feb,Average,-,6.096183823073304,16.13745027045865,NA
2010,Feb,Average,-,6.096183823073304,NA,NA
2010,Mar,Vienna,(AT),5.875332237108122,17.386491270632842,Austria
2010,Mar,Brussels,(BE),5.149526488945978,19.198990483771755,Belgium
2010,Mar,Sofia,(BG),NA,NA,Bulgaria
2010,Mar,Zagreb,(HR),NA,NA,Croatia
2010,Mar,Prague,(CZ),NA,NA,Czech Republic
2010,Mar,Copenhagen,(DK),8.4115398318469925,20.883210878385785,Denmark
2010,Mar,Tallinn,(EE),NA,NA,Estonia
2010,Mar,Paris,(FR),4.766692317704874,11.679727276752113,France
2010,Mar,Berlin,(DE),5.90514673911,21.28376981068226,Germany
2010,Mar,London,(GB),3.9994539863318517,13.860502707508283,United Kingdom
2010,Mar,Athens,(GR),5.070998849119335,12.661678818345331,Greece
2010,Mar,Budapest,(HU),NA,NA,Hungary
2010,Mar,Dublin,(IE),4.371221616469351,16.322723749966592,Ireland
